id;nom;prenom;mail;id_face_book;parraine
1;Outdoors;B2C;Lake payment;killer efficient protocol;false
2;protocol extranet Pennsylvania;primary Kentucky Walks;SMS;Avon Executive Streamlined;true
3;protocol Product Cambridgeshire;online;magnetic Manager backing up;Berkshire;false
4;matrix Regional;Mobility back-end generating;Gorgeous Steel Soap ivory;revolutionary back up;true
5;Games;Refined maroon bus;Berkshire Fantastic Rubber Salad;AI Bedfordshire;true
6;Gorgeous Graphical User Interface;programming panel;pixel matrix;instruction set Legacy Planner;false
7;model mindshare;Hills Ergonomic;Architect Credit Card Account implement;copying;false
8;hard drive Frozen;Highway maximize;Unbranded Frozen Bike;SMS;false
9;quantify;Cheese robust;vertical;content-based Generic;false
10;withdrawal human-resource Handmade Cotton Shoes;Paradigm Handcrafted Fresh Mouse;AI Investor;Product Wooden;false
