id;site;nom;prenom;telephone;mail;adresse;code_postal;ville;detail
1;United States Minor Outlying Islands;e-markets Road Togo;red red Sports;798-861-4756 x115;Direct Investor Oregon;implement Brazilian Real;Supervisor Bedfordsh;Indonesia GB;../fake-data/blob/hipster.txt
2;alarm blue Central;monitor Music;Tuna;712-297-1197 x4672;Montana;navigate Tasty Wooden Sausages maroon;channels;withdrawal benchmark;../fake-data/blob/hipster.txt
3;matrix;solid state hack;Usability Regional;1-513-933-0694;Creative;Automated;Alabama relationship;Forest 24/7;../fake-data/blob/hipster.txt
4;Personal Loan Account Ball;applications open-source Greenland;Garden Moldova Refined Concrete Bike;(372) 557-4760 x8757;Soft;niches XML;Borders;Borders;../fake-data/blob/hipster.txt
5;Metrics South Carolina magenta;Focused;markets generate;660-137-9764;calculating;moratorium California Checking Account;Practical;Switchable withdrawal copy;../fake-data/blob/hipster.txt
6;Books;Organized override;Quality;265.152.1083;Dynamic concept Avon;South Carolina Intelligent;engineer navigating ;Executive GB Ergonomic;../fake-data/blob/hipster.txt
7;Way;tan;applications;734.056.5283 x281;indexing TCP Zloty;Haven Pine Agent;Missouri quantifying;Keyboard solid state Dynamic;../fake-data/blob/hipster.txt
8;policy;transmit Self-enabling intranet;card National;(241) 914-0521;neutral;Outdoors;interface wireless;object-oriented Avon;../fake-data/blob/hipster.txt
9;withdrawal New Hampshire Sports;Cambridgeshire invoice;Kids calculating reinvent;(176) 538-2651;Personal Loan Account Sausages generate;Unbranded Wooden Chair Director;AGP Jewelery;extend Handcrafted Plastic Chair;../fake-data/blob/hipster.txt
10;Dong;Borders;alliance microchip neutral;246.491.8074;Movies Chad;Home Loan Account;time-frame Buckingha;Rubber Buckinghamshire Cotton;../fake-data/blob/hipster.txt
